continent,common_name,species_name
North America,Long-tailed Sabrewing,Pampa excellens
North America,Rufous Sabrewing,Pampa rufa
North America,Violet-headed Hummingbird,Klais guimeti
North America,Emerald-chinned Hummingbird,Abeillia abeillei
North America,Antillean Crested Hummingbird,Orthorhyncus cristatus
North America,Violet Sabrewing,Campylopterus hemileucurus
North America,Bronze-tailed Plumeleteer,Chalybura urochrysia
North America,White-vented Plumeleteer,Chalybura buffonii
North America,Crowned Woodnymph,Thalurania colombica
North America,Snowcap,Microchera albocoronata
North America,Coppery-headed Emerald,Microchera cupreiceps
North America,White-tailed Emerald,Microchera chionura
North America,Violet-capped Hummingbird,Goldmania violiceps
North America,Pirre Hummingbird,Goldmania bella
North America,Mexican Woodnymph,Eupherusa ridgwayi
North America,White-tailed Hummingbird,Eupherusa poliocerca
North America,Blue-capped Hummingbird,Eupherusa cyanophrys
North America,Stripe-tailed Hummingbird,Eupherusa eximia
North America,Black-bellied Hummingbird,Eupherusa nigriventris
North America,Scaly-breasted Hummingbird,Phaeochroa cuvierii
North America,Streamertail,Trochilus polytmus
North America,Violet-crowned Hummingbird,Leucolia violiceps
North America,Green-fronted Hummingbird,Leucolia viridifrons
North America,Azure-crowned Hummingbird,Saucerottia cyanocephala
North America,Blue-vented Hummingbird,Saucerottia hoffmanni
North America,Berylline Hummingbird,Saucerottia beryllina
North America,Blue-tailed Hummingbird,Saucerottia cyanura
North America,Snowy-bellied Hummingbird,Saucerottia edward
North America,Indigo-capped Hummingbird,Saucerottia cyanifrons
North America,Cinnamon Hummingbird,Amazilia rutila
North America,Buff-bellied Hummingbird,Amazilia yucatanensis
North America,Rufous-tailed Hummingbird,Amazilia tzacatl
North America,Honduran Emerald,Amazilia luciae
North America,Mangrove Hummingbird,Amazilia boucardi
North America,Amazilia Hummingbird,Amazilis amazilia
North America,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis
North America,Humboldt's Sapphire,Chrysuronia humboldtii
North America,Blue-chested Hummingbird,Polyerata amabilis
North America,Charming Hummingbird,Polyerata decora
North America,White-bellied Emerald,Chlorestes candida
North America,Blue-throated Goldentail,Chlorestes eliciae
North America,Violet-bellied Hummingbird,Chlorestes julie
North America,Ridgway's Rail,Rallus obsoletus
North America,Aztec Rail,Rallus tenuirostris
North America,Mangrove Rail,Rallus longirostris
North America,King Rail,Rallus elegans
North America,Clapper Rail,Rallus crepitans
North America,Virginia Rail,Rallus limicola
North America,Water Rail,Rallus aquaticus
North America,Corn Crake,Crex crex
North America,Colombian Crake,Mustelirallus colombianus
North America,Paint-billed Crake,Mustelirallus erythrops
North America,Zapata Rail,Cyanolimnas cerverai
North America,Spotted Rail,Pardirallus maculatus
North America,Uniform Crake,Amaurolimnas concolor
North America,Rufous-necked Wood-Rail,Aramides axillaris
North America,Russet-naped Wood-Rail,Aramides albiventris
North America,Gray-cowled Wood-Rail,Aramides cajaneus
North America,Sora,Porzana carolina
North America,Spotted Crake,Porzana porzana
North America,Eurasian Moorhen,Gallinula chloropus
North America,Common Gallinule,Gallinula galeata
North America,Eurasian Coot,Fulica atra
North America,Hawaiian Coot,Fulica alai
North America,American Coot,Fulica americana
North America,Purple Gallinule,Porphyrio martinica
North America,Azure Gallinule,Porphyrio flavirostris
