box,latitude,longitude,class,class score,order,order score,family,family score,genus,genus score,species,species score,Royal Spoonbill,Pied Oystercatcher,Gentoo Penguin,Australian Wood Duck,European Herring Gull,Grey Teal,Masked Lapwing,Australian White Ibis,Lesser Black-backed Gull,Silver Gull,Gull-billed Tern,Pacific Black Duck,Pied Stilt
"[14780.5, 6383.0, 14815.5, 6400.0]",-0.0007357457976613845,0.001703444623921328,aves,0.9579883813858032,charadriiformes,0.9578523635864258,charadriidae,0.9574738144874573,vanellus,0.9574738144874573,miles,0.9574738144874573,2.008901219596737e-06,7.938597991596907e-05,1.6578114809817635e-05,4.234673838254821e-07,8.673389402247267e-07,2.8207909053890035e-05,0.9574738144874573,2.90302409666765e-06,2.708562305997475e-06,5.826307187817292e-06,0.00013662423589266837,8.584393071942031e-05,0.00015319074736908078
"[17493.5, 7247.0, 17550.5, 7302.0]",-0.0008373907228487431,0.0020170128869002233,aves,0.9560703039169312,pelecaniformes,0.9554519057273865,threskiornithidae,0.9554519057273865,platalea,0.9545416831970215,regia,0.9545416831970215,0.9545416831970215,0.00012630844139494002,0.000215464475331828,5.208390939515084e-05,2.9395629098871723e-05,9.607110769138671e-06,9.320699973613955e-06,0.0009101952309720218,9.979753485822584e-07,2.8196827770443633e-05,0.00013432827836368233,9.558820238453336e-06,3.1886613669485087e-06
"[18118.5, 6266.0, 18157.5, 6287.0]",-0.0007225077836222609,0.002087922596883704,aves,0.9439404606819153,charadriiformes,0.9439193606376648,charadriidae,0.9437873959541321,vanellus,0.9437873959541321,miles,0.9437873959541321,1.5996331512724282e-06,8.086467460088897e-06,4.4527582758746576e-06,2.3324241738009732e-07,3.4239423030157923e-07,5.779419097962091e-06,0.9437873959541321,2.9089912914059823e-06,7.604060101584764e-07,8.188123319996521e-05,1.4381728760781698e-05,6.096852757764282e-06,2.6527757654548623e-05
"[17489.5, 4721.0, 17521.5, 4751.0]",-0.0005451759520807818,0.0020151135196685233,aves,0.9412587285041809,charadriiformes,0.9412339925765991,charadriidae,0.9411640167236328,vanellus,0.9411640167236328,miles,0.9411640167236328,4.3547140649025096e-07,3.8240144931478426e-05,3.939786438422743e-06,5.478664277802636e-08,8.000761653192967e-08,3.321352551211021e-06,0.9411640167236328,7.845433174225036e-07,2.56014089927703e-07,1.2816794878744986e-06,2.134322130586952e-05,1.6172776668099687e-05,8.81606865732465e-06
"[10689.5, 9996.0, 10739.5, 10063.0]",-0.0011545274939599242,0.0012333800123668786,aves,0.9845548272132874,anseriformes,0.9409244060516357,anatidae,0.9409244060516357,anas,0.9396249651908875,superciliosa,0.9379684329032898,0.0013653452042490244,0.0012006439501419663,0.00242261472158134,0.0012994239805266261,0.0018945673946291208,0.001656532404012978,0.027239413931965828,0.0021372251212596893,0.004838579799979925,0.0003353852953296155,0.0018765174318104982,0.9379684329032898,0.0003200848586857319
"[2679.5, 4366.0, 2733.5, 4444.0]",-0.0005070734942812171,0.0003115537825816377,aves,0.9860035181045532,pelecaniformes,0.977776825428009,threskiornithidae,0.977776825428009,threskiornis,0.9354497194290161,molucca,0.9354497194290161,0.04232710972428322,0.00010224641300737858,0.002378519158810377,0.00023011848679743707,0.0004921755171380937,5.118093758937903e-05,0.0002792685991153121,0.9354497194290161,0.00017764585209079087,8.354736200999469e-05,0.004311832599341869,7.280198042280972e-05,4.736045957542956e-05
"[17993.5, 6412.0, 18053.5, 6448.0]",-0.000740177654535352,0.0020747421394273586,aves,0.93609619140625,pelecaniformes,0.9341994524002075,threskiornithidae,0.9341994524002075,platalea,0.9335950016975403,regia,0.9335950016975403,0.9335950016975403,0.001024432247504592,0.00011126211029477417,0.00010178467346122488,2.4786520953057334e-05,2.081773527606856e-05,4.568640360957943e-05,0.0006044228211976588,1.8478057199899922e-06,0.00023674876138102263,0.0003022330056410283,1.3367742212722078e-05,1.3788120668323245e-05
"[5824.5, 9211.0, 5914.5, 9272.0]",-0.0010638183195005374,0.0006756567252403186,aves,0.9959131479263306,pelecaniformes,0.984947144985199,threskiornithidae,0.984947144985199,platalea,0.932636559009552,regia,0.932636559009552,0.932636559009552,0.00018819804245140404,0.00026053941110149026,7.496703619835898e-05,0.00010411538096377626,2.2064705262891948e-05,8.698003512108698e-05,0.052310582250356674,7.547330369561678e-06,0.00019521113426890224,0.009981539100408554,2.7861615308211185e-05,1.7017158825183287e-05
"[11131.5, 7849.0, 11203.5, 7886.0]",-0.0009056528300243985,0.0012855262763644703,aves,0.9913389682769775,anseriformes,0.9402243494987488,anatidae,0.9402243494987488,anas,0.9322569370269775,superciliosa,0.9317222237586975,0.0002633742114994675,0.0005444161361083388,0.0006874518585391343,0.007967366836965084,0.003911362960934639,0.0005347384139895439,0.00033940855064429343,0.0002440943062538281,0.04470605403184891,4.2126852349611e-05,0.00012136276927776635,0.9317222237586975,0.0002550002245698124
"[18002.5, 5443.0, 18044.5, 5465.0]",-0.0006278272049511369,0.0020747421394273586,aves,0.9295350909233093,charadriiformes,0.9294345378875732,charadriidae,0.9287424683570862,vanellus,0.9287424683570862,miles,0.9287424683570862,1.1046208783227485e-05,0.00011169347999384627,3.443238892941736e-05,1.860089469118975e-06,1.9970984794781543e-06,1.7199152352986857e-05,0.9287424683570862,1.285822600038955e-05,3.635704842963605e-06,0.0002124767197528854,7.470230775652453e-05,2.3107731976779178e-05,0.00028756982646882534
"[15923.5, 12408.0, 15952.5, 12448.0]",-0.0014306264215498221,0.001834673632656989,aves,0.9272415041923523,charadriiformes,0.927219033241272,charadriidae,0.927174985408783,vanellus,0.927174985408783,miles,0.927174985408783,3.00135013731051e-07,7.92277842265321e-06,2.866445811378071e-06,9.446347348784911e-08,1.0702623143288292e-07,3.686855961859692e-06,0.927174985408783,1.179100422632473e-06,3.15858727617524e-07,5.017606781620998e-06,2.3656275516259484e-05,1.4337108041218016e-05,7.044689937174553e-06
"[15387.5, 7612.0, 15417.5, 7632.0]",-0.0008773925478800082,0.0017730305325008957,aves,0.9254142642021179,charadriiformes,0.9253838062286377,charadriidae,0.9245473146438599,vanellus,0.9245473146438599,miles,0.9245473146438599,4.75895632234824e-07,2.8647064027609304e-05,9.88096508081071e-06,1.4956994220938213e-07,1.5194386548955663e-07,9.776275874173734e-06,0.9245473146438599,1.0539333743508905e-06,1.3460640957418946e-06,3.2076961815619143e-06,2.919697726611048e-05,9.146524462266825e-06,0.0007739024003967643
"[17348.5, 4951.0, 17389.5, 4975.0]",-0.0005713066406623564,0.0019994005725699113,aves,0.9694628119468689,charadriiformes,0.9687820672988892,charadriidae,0.9227298498153687,vanellus,0.9227298498153687,miles,0.9227298498153687,8.565005373384338e-06,0.0024626071099191904,0.00015093440015334636,6.5250342231593095e-06,6.501672487502219e-06,0.0001451534335501492,0.9227298498153687,1.145205351349432e-05,6.631022552028298e-05,4.310816802899353e-05,0.00012141795014031231,0.00035813875729218125,0.04335226118564606
"[10488.5, 7333.0, 10531.5, 7410.0]",-0.0008485566999078301,0.00120983937001035,aves,0.9577484130859375,pelecaniformes,0.9204825162887573,threskiornithidae,0.9204825162887573,threskiornis,0.9200271368026733,molucca,0.9200271368026733,0.00045539860730059445,7.091791485436261e-05,0.00031364121241495013,0.028847938403487206,0.0001355982240056619,7.517768972320482e-05,0.00011162328155478463,0.9200271368026733,0.006769668776541948,0.0004152180044911802,9.690390288596973e-05,6.925601337570697e-05,0.00035992119228467345
"[7843.5, 8205.0, 7890.5, 8285.0]",-0.0009491080500223914,0.0009055952734416196,aves,0.9845778346061707,charadriiformes,0.9451974630355835,laridae,0.9411466121673584,larus,0.9388856291770935,fuscus,0.9196564555168152,0.0008710823603905737,0.0008682500338181853,0.0023252111859619617,0.0054260301403701305,0.019229192286729813,0.0007386304205283523,0.0008661564206704497,0.010177873075008392,0.9196564555168152,0.0004860878107137978,0.0017749230610206723,0.019841564819216728,0.002316409023478627
"[16192.5, 7936.0, 16215.5, 7956.0]",-0.0009146892135206699,0.00186529373469531,aves,0.9153651595115662,charadriiformes,0.9153437614440918,charadriidae,0.9152771234512329,vanellus,0.9152771234512329,miles,0.9152771234512329,2.2051378323340032e-07,6.640242190769641e-06,6.301615940174088e-06,3.038272211597359e-08,6.669773000567147e-08,2.2526712655235315e-06,0.9152771234512329,8.149939958457253e-07,5.358636485652823e-07,3.774462697947456e-07,2.9369348339969292e-05,1.1760073903133161e-05,2.961912286991719e-05
"[17821.5, 10388.0, 17872.5, 10438.0]",-0.001198673392951263,0.002054424665706443,aves,0.9154072999954224,pelecaniformes,0.9139474630355835,threskiornithidae,0.9139474630355835,platalea,0.9135947823524475,regia,0.9135947823524475,0.9135947823524475,9.86297891358845e-05,4.1287115891464055e-05,2.130810753442347e-05,1.9416283976170234e-05,1.4747046407137532e-05,1.304163015447557e-05,0.0003527057997416705,3.7530728036472283e-07,0.0001537586358608678,0.001089389668777585,5.424514256446855e-06,2.4794792352622608e-06
"[18268.5, 4454.0, 18305.5, 4474.0]",-0.0005138651710491153,0.0021050744585517857,aves,0.909827709197998,charadriiformes,0.9097421169281006,charadriidae,0.9092741012573242,vanellus,0.9092741012573242,miles,0.9092741012573242,1.5116610256882268e-06,8.433181938016787e-05,1.4676687897008378e-05,4.5877962406848383e-07,5.329753776095458e-07,1.656719541642815e-05,0.9092741012573242,2.33530545301619e-06,1.4587317309633363e-06,8.496515874867328e-06,8.569400233682245e-05,5.005809725844301e-05,0.00028751662466675043
"[17390.5, 5113.0, 17464.5, 5166.0]",-0.0005916241143832724,0.0020061346927550306,aves,0.955101490020752,pelecaniformes,0.9094024300575256,threskiornithidae,0.9094024300575256,platalea,0.906536340713501,regia,0.906536340713501,0.906536340713501,0.0009272083407267928,0.0004923584638163447,9.4130817160476e-05,0.00022576676565222442,8.869216253515333e-05,0.000345955224474892,0.0028661093674600124,1.1370896572771017e-05,0.0015033839736133814,0.0419054850935936,5.70370139030274e-05,4.7724199248477817e-05
"[17716.5, 7834.0, 17755.5, 7856.0]",-0.0009030627837993525,0.0020416471043295495,aves,0.8731643557548523,charadriiformes,0.8731256723403931,charadriidae,0.8728547096252441,vanellus,0.8728547096252441,miles,0.8728547096252441,1.1708925740094855e-06,3.0453637009486556e-05,9.396473615197465e-06,2.553347258071881e-07,5.567075049839332e-07,1.4192583876138087e-05,0.8728547096252441,1.9613698896137066e-06,1.5862010513956193e-06,1.919494752655737e-05,3.121798363281414e-05,1.1750276826205663e-05,0.00018792141054291278
"[16324.5, 4818.0, 16367.5, 4841.0]",-0.0005559390330604172,0.001881639804204489,aves,0.8719415664672852,charadriiformes,0.8717119097709656,charadriidae,0.871242344379425,vanellus,0.871242344379425,miles,0.871242344379425,2.666705313458806e-06,0.00024941458832472563,1.55413436004892e-05,5.767330435446638e-07,6.868045261398947e-07,6.916633719811216e-05,0.871242344379425,3.8060427414166043e-06,2.5455249215156073e-06,5.0623762035684194e-06,5.791814692202024e-05,0.00013791451056022197,0.0001539177173981443
"[17758.5, 10418.0, 17797.5, 10445.0]",-0.0012008029865140785,0.0020464818572829683,aves,0.8987450003623962,charadriiformes,0.8980154395103455,charadriidae,0.86851567029953,vanellus,0.86851567029953,miles,0.86851567029953,5.141692963661626e-05,0.0019376474665477872,0.00020173129450995475,1.9013910787180066e-05,1.1827517482743133e-05,0.00028276615194045007,0.86851567029953,5.8704521507024765e-05,3.977180676884018e-05,0.000808202545158565,0.0003995966399088502,0.00011589680070756003,0.02630273997783661
"[6267.5, 9254.0, 6342.5, 9300.0]",-0.0010679048368778322,0.0007257885088406523,aves,0.9146618843078613,pelecaniformes,0.9058445692062378,threskiornithidae,0.9058445692062378,platalea,0.8684251308441162,regia,0.8684251308441162,0.8684251308441162,0.0003201764775440097,0.0006546254735440016,0.0002480967668816447,0.00020706755458377302,7.623636338394135e-05,9.52715563471429e-05,0.037419408559799194,1.5168548088695388e-05,0.00018363950948696584,0.006898330058902502,9.194203448714688e-05,2.6825589884538203e-05
"[16220.5, 4658.0, 16251.5, 4685.0]",-0.0005377511529023167,0.0018689773559931535,aves,0.8671621680259705,charadriiformes,0.8669486045837402,charadriidae,0.8667476177215576,vanellus,0.8667476177215576,miles,0.8667476177215576,3.2855964491318446e-06,0.00010891270358115435,0.0001539395161671564,3.040148044419766e-07,5.991766443003144e-07,9.260342267225496e-06,0.8667476177215576,4.631855972547783e-06,1.9050640958084841e-06,3.1847307582211215e-06,3.991952326032333e-05,4.213600550428964e-05,4.645475200959481e-05
"[18633.5, 9704.0, 18671.5, 9740.0]",-0.0011191301955509629,0.0021471483205630876,aves,0.865461528301239,charadriiformes,0.8652660846710205,charadriidae,0.8637770414352417,vanellus,0.8637770414352417,miles,0.8637770414352417,2.0342693460406736e-05,7.905015809228644e-05,5.8899473515339196e-05,2.2036269911041018e-06,3.85209932574071e-06,5.303068974171765e-05,0.8637770414352417,2.262966154376045e-05,5.15385272592539e-06,0.0003020272124558687,0.0010050503769889474,3.832943184534088e-05,9.392642095917836e-05
"[3266.5, 7766.0, 3331.5, 7826.0]",-0.0008974222386870304,0.0003797583331745142,aves,0.9791077971458435,pelecaniformes,0.8632555603981018,threskiornithidae,0.8632555603981018,platalea,0.8621594309806824,regia,0.8621594309806824,0.8621594309806824,0.10265767574310303,0.0051593901589512825,0.0008307313546538353,0.0007399057503789663,0.0002831174642778933,0.0007993958424776793,0.0010961011284962296,0.00012149285612395033,0.0008976443205028772,0.0035821960773319006,0.0004839971661567688,0.000296646700007841
